[[1.00000000e+00 3.99321156e-01]
 [2.00000000e+00 5.78335379e-01]
 [3.00000000e+00 6.16407558e-01]
 [4.00000000e+00 9.37867958e-03]
 [5.00000000e+00 7.84562204e-02]
 [6.00000000e+00 4.24032637e-01]
 [7.00000000e+00 7.94050890e-01]
 [8.00000000e+00 7.93149089e-01]
 [9.00000000e+00 1.61559026e-01]
 [1.00000000e+01 9.72898738e-01]
 [1.10000000e+01 8.59556341e-01]
 [1.20000000e+01 1.73652520e-01]
 [1.30000000e+01 7.77780821e-01]
 [1.40000000e+01 3.88803991e-01]
 [1.50000000e+01 7.79942308e-01]
 [1.60000000e+01 7.74932005e-01]
 [1.70000000e+01 5.34628998e-01]
 [1.80000000e+01 3.38701601e-01]
 [1.90000000e+01 3.80935602e-03]
 [2.00000000e+01 9.63767052e-01]
 [2.10000000e+01 8.63446723e-01]
 [2.20000000e+01 2.21121490e-01]
 [2.30000000e+01 2.36331347e-01]
 [2.40000000e+01 1.91804490e-01]
 [2.50000000e+01 8.56643115e-02]
 [2.60000000e+01 2.42741174e-01]
 [2.70000000e+01 9.87788369e-01]
 [2.80000000e+01 4.95944231e-02]
 [2.90000000e+01 4.18469914e-01]
 [3.00000000e+01 6.84612399e-01]
 [3.10000000e+01 7.92665860e-01]
 [3.20000000e+01 3.16354935e-02]
 [3.30000000e+01 3.17983499e-01]
 [3.40000000e+01 2.04953996e-01]
 [3.50000000e+01 1.16244548e-01]
 [3.60000000e+01 7.66767377e-01]
 [3.70000000e+01 3.48602430e-01]
 [3.80000000e+01 4.20407336e-01]
 [3.90000000e+01 5.95009082e-01]
 [4.00000000e+01 3.59511721e-01]
 [4.10000000e+01 8.52031651e-01]
 [4.20000000e+01 4.76882321e-01]
 [4.30000000e+01 7.55252481e-01]
 [4.40000000e+01 4.27055465e-01]
 [4.50000000e+01 5.98790264e-01]
 [4.60000000e+01 4.74545682e-01]
 [4.70000000e+01 4.29301448e-01]
 [4.80000000e+01 8.10457108e-01]
 [4.90000000e+01 7.75676799e-01]
 [5.00000000e+01 9.08741617e-01]
 [5.10000000e+01 4.13051680e-01]
 [5.20000000e+01 8.32474710e-01]
 [5.30000000e+01 6.88243217e-02]
 [5.40000000e+01 6.57440432e-01]
 [5.50000000e+01 2.41316747e-01]
 [5.60000000e+01 5.00843999e-01]
 [5.70000000e+01 1.36418299e-01]
 [5.80000000e+01 8.30554445e-01]
 [5.90000000e+01 4.18029452e-01]
 [6.00000000e+01 2.59855453e-01]
 [6.10000000e+01 4.26341711e-01]
 [6.20000000e+01 4.66579926e-01]
 [6.30000000e+01 4.36614469e-01]
 [6.40000000e+01 5.43118788e-01]
 [6.50000000e+01 6.56582706e-01]
 [6.60000000e+01 2.90937964e-01]
 [6.70000000e+01 3.82437355e-01]
 [6.80000000e+01 3.85018326e-01]
 [6.90000000e+01 6.07686571e-03]
 [7.00000000e+01 7.95909220e-01]
 [7.10000000e+01 7.35857845e-01]
 [7.20000000e+01 4.08717723e-01]
 [7.30000000e+01 7.83745000e-01]
 [7.40000000e+01 5.92597396e-01]
 [7.50000000e+01 7.32288114e-02]
 [7.60000000e+01 3.78393276e-01]
 [7.70000000e+01 2.88384890e-01]
 [7.80000000e+01 5.47282094e-01]
 [7.90000000e+01 5.13015551e-01]
 [8.00000000e+01 7.30817818e-02]
 [8.10000000e+01 9.09262979e-01]
 [8.20000000e+01 8.10189842e-01]
 [8.30000000e+01 7.56190600e-01]
 [8.40000000e+01 1.96547522e-01]
 [8.50000000e+01 8.89273015e-01]
 [8.60000000e+01 4.89116342e-01]
 [8.70000000e+01 7.00699583e-01]
 [8.80000000e+01 9.22234694e-01]
 [8.90000000e+01 4.21000430e-02]
 [9.00000000e+01 4.51787945e-01]
 [9.10000000e+01 8.70438328e-01]
 [9.20000000e+01 7.16140537e-01]
 [9.30000000e+01 2.77406919e-02]
 [9.40000000e+01 5.56494279e-01]
 [9.50000000e+01 8.75373632e-01]
 [9.60000000e+01 8.50859933e-01]
 [9.70000000e+01 2.15537923e-01]
 [9.80000000e+01 5.79535019e-02]
 [9.90000000e+01 7.42721064e-01]
 [1.00000000e+02 6.41835440e-01]]
